DEPT[M],CALIPER[,DEN(CDL),RES(16N),RES(64N),RES[OHM],SANG[DEG,SP[MM],GAM(NAT)
3.84,12.6761,2.17309,550.916,62.699,3480.75,0.0887906,-259.421,91.3362
3.86,12.6761,2.1731,550.661,62.699,3028.91,0.0887906,-259.421,94.522
3.88,12.6761,2.17546,154.243,69.3345,3028.51,0.0887906,-259.421,97.7082
3.9,12.6756,2.17546,153.893,69.3404,2320.44,0.0887906,-259.421,96.1193
3.92,12.6756,2.13816,153.893,76.8112,2319.82,0.0887906,-259.421,94.5262
3.94,12.6789,2.18216,32.824,76.8178,1186.84,0.0887906,-259.421,95.0554
3.96,12.6789,2.07747,32.7171,76.029,1185.84,0.0887906,-259.421,95.0558
3.98,12.6826,2.08659,15.6765,76.0283,1185.84,0.0887906,-259.421,95.0558
4,12.6826,2.11094,15.6616,76.0283,918.596,0.328081,-259.421,97.1781
4.02,12.6784,2.12269,17.4481,61.3186,918.36,0.328293,-259.421,99.3022
4.04,12.6784,2.26211,17.4497,61.3056,917.078,0.36844,-259.421,100.365
4.06,12.6826,2.23218,17.4497,54.9485,917.077,0.368475,-100.952,101.427
4.08,12.6826,2.23215,18.1368,54.9429,577.965,0.368475,-100.812,103.02
4.1,12.6821,2.15948,18.1374,57.959,577.665,0.368475,-100.812,106.205
4.12,12.6821,2.15941,17.771,57.9617,577.665,0.368475,-100.812,109.391
4.14,12.6817,2.15719,17.7707,57.9617,403.446,0.368475,-100.812,112.047
4.16,12.6817,2.15719,16.3964,63.2516,403.292,0.368475,-100.812,114.702
4.18,12.6812,2.0727,16.3952,63.2563,435.525,0.368475,-100.812,115.235
4.2,12.6812,2.07263,16.3952,70.4951,435.553,0.368475,-100.812,115.766
4.22,12.6784,2.13943,14.7461,70.5015,456.77,0.368475,-100.812,113.113
4.24,12.6784,2.13948,14.7447,80.4781,456.788,0.368475,-100.812,110.458
4.26,12.6784,1.83723,11.4924,80.4869,456.788,0.368475,-100.812,107.803
