DEPT[M],CALP[CM],DENS[G/C,NGAMMA[A,RES[OHM-,SPR[OHM],SP[MV]
3.6,12.53,3.56499,47.4027,16.5017,19.4498,-162.147
3.62,12.53,3.58495,46.6005,15.7017,19.5498,-163.696
3.64,12.525,3.61496,46.5,15.0013,19.6996,-165.596
3.66,12.52,3.64994,47.745,14.6503,19.8996,-167.446
3.68,12.52,3.68993,49.3484,14.6,20.0996,-169.644
3.7,12.52,3.71997,49.7995,14.4506,20.2996,-171.996
3.72,12.52,3.73997,50.5972,14.1506,20.4498,-174.145
3.74,12.52,3.75498,53.1923,14,20.5,-176.296
3.76,12.525,3.76498,56.1953,14,20.4502,-178.047
3.78,12.525,3.76502,57.6484,14,20.3004,-179.796
3.8,12.52,3.75501,59.1454,14.0996,20.1004,-181.298
3.82,12.52,3.73504,60.6982,14.2498,19.9502,-182.248
3.84,12.52,3.70006,61.8968,14.3,19.8502,-182.899
3.86,12.52,3.65508,61.2556,14.3996,19.7502,-183.2
3.88,12.52,3.61007,59.85,14.5996,19.7498,-183.101
3.9,12.52,3.58004,58.904,14.7498,19.7502,-182.502
3.92,12.52,3.57499,58.3982,15.049,19.7,-181.453
3.94,12.52,3.58997,57.7545,15.4992,19.7,-180.153
3.96,12.52,3.6,54.8572,15.8494,19.7498,-178.853
3.98,12.52,3.6,54.8931,16.249,19.8,-177.055
4,12.52,3.59502,55.3053,16.5,19.8498,-174.954
4.02,12.52,3.59,56.1412,16.5,19.9498,-172.855
4.04,12.52,3.58502,56.1586,16.5996,20,-170.505
4.06,12.52,3.57999,53.9004,16.7498,20.0498,-168.254
4.08,12.52,3.56504,56.141,16.8498,20.1498,-165.905
4.1,12.52,3.52009,57.055,16.9996,20.2,-163.754
4.12,12.52,3.45511,56.7958,17.1,20.2996,-162.004
4.14,12.52,3.38511,55.6588,17.0004,20.4498,-160.204
4.16,12.52,3.32508,54.4462,16.8004,20.5498,-158.703
4.18,12.52,3.28006,56.446,16.5008,20.6498,-157.453
4.2,12.52,3.24504,55.4577,16.1506,20.7,-156.302
4.22,12.52,3.21006,52.8529,15.8008,20.6502,-155.402
4.24,12.52,3.17505,52.2001,15.4506,20.6498,-154.651
4.26,12.52,3.15003,53.0466,15.2502,20.7,-154.151
4.28,12.52,3.14,54.7963,15.1004,20.7,-153.801
4.3,12.52,3.14499,54.8035,15,20.7498,-153.5
4.32,12.52,3.16994,53.2528,15.0498,20.8,-153.4
4.34,12.52,3.20496,52.8491,15.0502,20.8,-153.45
4.36,12.52,3.24493,52.6517,15.0498,20.8,-153.749
4.38,12.52,3.29991,52.6483,15.1,20.7502,-154.249
4.4,12.52,3.35493,52.2035,15.1,20.7,-154.998
4.42,12.52,3.4099,51.3002,15.1996,20.6502,-155.948
4.44,12.52,3.45495,52.1964,15.3,20.5502,-156.948
4.46,12.52,3.48495,53.4983,15.3,20.5,-158.247
4.48,12.52,3.50997,53.8999,15.3996,20.4502,-159.598
4.5,12.52,3.52498,53.0534,15.4004,20.4,-160.847
