DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],RES(64N),RES[OHM],SP[MV],GAM[API],LITHOLOGY DESCRIPTION,Formation,Classified
73.997,2,14.7444,2.33693,26.634,72.3577,29.1573,216.899,Sandy Shale,Raniganj,ss
74.587,2,14.4913,2.32995,26.9083,66.207,29.1155,283.277,Shaly Sandstone,Raniganj,Sandstone (SST)
74.647,2,14.4812,2.33128,26.9998,65.7444,29.1169,286.042,Sandy Shale,Raniganj,ss
75.447,2,14.2828,2.38734,25.627,69.9287,28.1254,171.956,Sandy Shale,Raniganj,ss
78.677,2,14.5938,2.22574,22.6982,50.0815,28.6312,298.488,"Fine grained Sandstone with shale lamination , whitish",Raniganj,Sandstone (SST)
79.147,2,14.6004,2.14668,22.3778,48.6225,26.6483,242.482,Sandy Shale,Raniganj,ss
79.477,2,14.5024,2.31705,21.5541,75.7023,28.8538,198.23,"Grey Shale , Broken at Bottom",Raniganj,Grey Shale
79.887,2,14.4617,2.12913,11.9451,65.8008,26.9113,220.356,"Dark Grey Shale , Broken at top , ",Raniganj,dgs
80.257,2,14.3972,1.90433,9.79365,65.5107,26.5471,178.87,Shaly Sandstone,Raniganj,Sandstone (SST)
80.497,2,14.3835,1.76666,8.10044,97.2506,26.5067,121.481,Grey Shale,Raniganj,Grey Shale
80.607,2,14.3791,1.75833,7.13943,100.558,26.5268,124.247,Shaly Coal with carb shale band,Raniganj,coal
80.747,2,14.3787,1.77104,7.41352,88.3663,26.5269,149.83,Grey Shale,Raniganj,Grey Shale
81.267,2,14.3743,1.81613,9.7474,70.6276,26.972,171.264,Coal with 0.03cm  Shale band,Raniganj,coal
81.347,2,14.3729,1.8726,10.3423,73.222,26.0615,180.253,Carbonaceous shale ,Raniganj,Carb shale
81.417,2,14.3725,1.91047,11.6217,71.8935,26.0615,211.367,Carbonaceous shale with shale band,Raniganj,Carb shale
81.677,2,14.3849,1.99149,14.5525,52.8014,26.4662,281.202,Coal,Raniganj,coal
81.797,2,14.3858,1.95696,15.6508,59.6409,26.4662,235.568,Carbonaceous shale,Raniganj,Carb shale
82.307,2,14.369,2.24638,23.3846,81.003,25.495,221.739,Dark Grey Shale,Raniganj,dgs
82.507,2,14.3716,2.34679,22.4694,80.1336,25.495,195.464,Coal,Raniganj,coal
83.067,2,14.3464,2.34429,46.1743,79.8396,24.1393,214.133,Shaly Sandstone with Shale lamination,Raniganj,Sandstone (SST)
83.647,2,14.2678,2.14679,14.4658,55.3562,24.7058,214.825,Sandy Shale,Raniganj,ss
84.167,2,14.1883,1.57753,10.7998,131.021,25.0903,101.429,Sandy Shale with Shaly sandstone,Raniganj,alt
84.297,2,14.5024,1.60887,10.891,128.758,23.3501,104.195,Dark grey Shale,Raniganj,dgs
84.367,2,14.6335,1.70451,10.8915,120.635,23.3501,126.321,Carbonaceous shale ,Raniganj,Carb shale
