Depth (m),LITHOLOGY DESCRIPTION,Formation,CLASSIFIED LITHOLOGY
145.357,Medium to coarse grained sandstone,Raniganj,Sandstone (SST)
146.367,Coarse grained Sandstone,Raniganj,Sandstone (SST)
147.147,Medium grained Sandstone,Raniganj,Sandstone (SST)
147.807,Coarse grained Sandstone,Raniganj,Sandstone (SST)
148.997,"Fine to medium grained Sandstone, Shale streaks",Raniganj,Sandstone (SST)
149.597,Fine grained sandstone ,Raniganj,Sandstone (SST)
149.907,Medium grained sandstone,Raniganj,Sandstone (SST)
150.257,Shaly coal with silicate mineralisation ,Raniganj,coal
150.307,Shaly coal,Raniganj,coal
150.827,Sandy shale,Raniganj,ss
151.367,Fine grained sandstone with shale bands,Raniganj,Sandstone (SST)
152.697,Fine grained sandstone with shale bands,Raniganj,Sandstone (SST)
153.147,Grey Shale,Raniganj,gs
153.297,Dark grey shale,Raniganj,dgs
153.497,Shaly coal ,Raniganj,coal
153.747,Shaly coal ,Raniganj,coal
153.997,Silty shale,Raniganj,Shale
154.457,Fine to medium grained Sandstone,Raniganj,Sandstone (SST)
155.697,Fine grained sandstone with shale bands,Raniganj,Sandstone (SST)
155.937,Sandy shale,Raniganj,ss
157.797,Fine grained sandstone,Raniganj,Sandstone (SST)
159.197,Fine grained sandstone,Raniganj,Sandstone (SST)
161.097,Medium grained sandstone,Raniganj,Sandstone (SST)
165.597,Medium grained Sandstone,Raniganj,Sandstone (SST)
167.297,Fine to medium grained sandstone ,Raniganj,Sandstone (SST)
167.517,Shaly Sandstone,Raniganj,Sandstone (SST)
169.727,Fine grained sandstone,Raniganj,Sandstone (SST)
169.897,Sandy Shale,Raniganj,ss
170.227,Grey Shale,Raniganj,gs
170.437,Dark grey shale,Raniganj,dgs
170.617,Shaly coal ,Raniganj,coal
170.797,Sandy shale,Raniganj,ss
171.017,Grey Shale,Raniganj,gs
171.267,Coaly Shale,Raniganj,Shale
171.387,Grey Shale,Raniganj,gs
172.667,Sandy Shale,Raniganj,ss
173.237,Fine grained sandstone with shale lamination,Raniganj,Sandstone (SST)
173.987,Grey Shale,Raniganj,gs
174.617,Fine grained sandstone with shale bands,Raniganj,Sandstone (SST)
174.987,Sandy Shale,Raniganj,ss
175.257,Carbonaceous Shale,Raniganj,carb shale
175.297,Sandy Shale,Raniganj,ss
175.827,Sandy shale,Raniganj,ss
176.517,Shaly Sandstone laminae,Raniganj,Sandstone (SST)
177.037,Coal,Raniganj,coal
178.297,Shaly Sandstone with shale lamination,Raniganj,Sandstone (SST)
178.397,Dark gray Shale,Raniganj,dgs
179.207,Shaly Coal with vitrain band,Raniganj,oal
179.347,Coal,Raniganj,coal
180.277,Fine grained Sandstone,Raniganj,Sandstone (SST)
181.047,Shaly Sandstone,Raniganj,Sandstone (SST)
181.297,Fine grained Sandstone,Raniganj,Sandstone (SST)
182.007,Shaly Sandstone,Raniganj,Sandstone (SST)
185.797,Fine grained Sandstone with streaks of Shale,Raniganj,Sandstone (SST)
190.297,Fine grained to medium grained Sandstone,Raniganj,Sandstone (SST)
194.797,Fine grained to medium grained Sandstone,Raniganj,Sandstone (SST)
199.297,Shale with coal streaks,Raniganj,Shale
203.797,Shale with coal streaks,Raniganj,Shale
204.057,Shale with coal streaks,Raniganj,Shale
205.177,Gray shale with coal streaks,Raniganj,Shale
207.447,Sandy shale with sand patches,Raniganj,Shale
208.557,Shaly sandstone with shale laminations,Raniganj,alt
211.347,Fine grained to medium grained Sandstone,Raniganj,Sandstone (SST)
211.977,Fine grained to medium grained Sandstone,Raniganj,Sandstone (SST)
212.997,Shaly sandstone,Raniganj,Sandstone (SST)
213.487,Shaly sandstone,Raniganj,Sandstone (SST)
213.777,Dark gray Shale,Raniganj,dgs
214.057,Shaly Sandstone,Raniganj,Sandstone (SST)
214.657,Medium grained sandstone,Raniganj,Sandstone (SST)
215.097,Gray shale,Raniganj,gs
216.197,Coal,Raniganj,coal
217.197,Coal,Raniganj,coal
217.517,Coal,Raniganj,coal
219.777,Shaly sandstone,Raniganj,Sandstone (SST)
220.497,Fine grained sandstone with Shale lamination,Raniganj,Sandstone (SST)
221.507,Fine grained sandstone with shale streaks,Raniganj,Sandstone (SST)
221.877,"Dark gray shale,broken and fractured with coal streaks",Raniganj,dgs
223.247,Shaly Sandstone,Raniganj,Sandstone (SST)
224.297,"Shaly Coal, pyrite content, vitrain band",Raniganj,coal
225.297,"Gray to dark gray shale,lamination of coal",Raniganj,dgs
225.447,Sandy Shale,Raniganj,ss
225.947,Sandy Shale (Sample collected by CIMFR),Raniganj,ss
227.847,Sandy Shale,Raniganj,ss
228.007,Sandy Shale,Raniganj,ss
228.957,Shaly Sandstone,Raniganj,Sandstone (SST)
229.447,Fine grained sandstone with shale lamination,Raniganj,Sandstone (SST)
233.947,Fine grained sandstone with shale lamination,Raniganj,Sandstone (SST)
238.447,"Fine to medium grained sandstone with shale lamination,coal streaks,feldspathic",Raniganj,Sandstone (SST)
242.947,medium grained sandstone with shale lamination,Raniganj,Sandstone (SST)
244.447,medium grained sandstone with shale lamination,Raniganj,Sandstone (SST)
245.947,"Medium grained sandstone, rounded and pebbly in nature",Raniganj,Sandstone (SST)
248.597,"Medium grained sandstone with shale streaks,micaceous",Raniganj,Sandstone (SST)
