DEPT[M],GAM(NAT),CALIPER[,RES[OHM],RES(16N),DEN(CDL),RES(64N),SANG[DEG,SP[MV]
5.02,88.9835,10.3494,3508.51,2810.74,1.70553,2850.36,1.78433,-274.293
5.04,87.6006,10.347,3508.45,2810.74,1.7103,2850.36,1.78433,-274.293
5.06,86.9092,10.347,3508.45,2810.69,1.71438,2850.31,1.65835,-274.293
5.08,86.2177,10.3465,3508.51,2810.69,1.7178,2850.31,1.65799,-274.293
5.1,85.5263,10.3465,3508.51,2810.69,1.72056,2850.36,1.60661,-315.737
5.12,86.2178,10.3465,3508.51,2810.69,1.72236,2850.36,1.60646,-315.854
5.14,86.9092,10.3465,3508.51,2810.74,1.72322,2850.31,1.60646,-315.854
5.16,84.1435,10.3432,3508.51,2810.74,1.72315,2850.31,1.60646,-315.854
5.18,81.3777,10.3432,3508.51,2810.69,1.72223,2850.36,1.60646,-315.854
5.2,78.612,10.3432,3508.51,2810.69,1.72016,2850.36,1.60646,-315.854
5.22,76.5377,10.3432,3508.45,2810.69,1.71692,2850.31,1.60646,-315.854
5.24,74.4634,10.347,3508.45,2810.69,1.71201,2850.31,1.60646,-315.854
5.26,75.8462,10.347,3508.51,2810.74,1.7059,2850.36,1.60646,-315.854
5.28,77.2291,10.3508,3508.51,2810.74,1.69858,2850.36,1.71163,-315.854
5.3,78.612,10.3508,3508.45,2810.74,1.6914,2850.31,1.71192,-315.854
5.32,79.3034,10.3499,3508.45,2810.69,1.68363,2850.31,1.75201,-315.854
5.34,79.9948,10.3499,3508.56,2810.69,1.67528,2850.36,1.75213,-295.233
5.36,82.0691,10.3527,3508.56,2810.69,1.66672,2850.36,1.75213,-295.175
5.38,84.1435,10.3527,3508.45,2810.69,1.65817,2850.31,1.75213,-295.175
5.4,86.2178,10.3527,3508.45,2810.69,1.64963,2850.31,1.75213,-295.175
5.42,83.452,10.3527,3508.51,2810.69,1.64139,2850.36,1.75213,-295.175
5.44,80.6863,10.3537,3508.51,2810.69,1.63331,2850.36,1.75213,-295.175
5.46,80.6863,10.3537,3508.45,2810.69,1.62539,2850.31,1.75213,-295.175
5.48,77.9205,10.3556,3508.45,2810.74,1.61691,2850.31,1.75213,-295.175
5.5,75.1548,10.3556,3508.45,2810.74,1.60806,2850.31,1.75213,-295.175
5.52,76.5377,10.3561,3508.51,2810.69,1.59885,2850.31,1.69884,-295.175
5.54,77.9205,10.3561,3508.51,2810.69,1.59058,2850.36,1.69869,-295.175
5.56,77.2291,10.3561,3508.51,2810.69,1.58262,2850.36,1.63439,-295.175
5.58,79.9949,10.3565,3508.51,2810.69,1.57544,2850.31,1.63421,-266.967
5.6,82.7606,10.3565,3508.51,2810.74,1.56807,2850.31,1.63421,-266.888
5.62,85.5263,10.3556,3508.51,2810.74,1.56106,2850.36,1.63421,-266.888
5.64,88.2921,10.3556,3508.45,2810.69,1.55439,2850.36,1.63421,-266.888
5.66,89.6749,10.357,3508.45,2810.69,1.54809,2850.31,1.63421,-266.888
5.68,86.2178,10.357,3508.51,2810.69,1.54181,2850.31,1.63421,-266.888
5.7,82.7606,10.3556,3508.51,2810.69,1.53555,2850.36,1.63421,-266.888
5.72,81.3777,10.3556,3508.45,2810.74,1.5296,2850.36,1.63421,-266.888
5.74,79.9948,10.358,3508.45,2810.74,1.52398,2850.31,1.63421,-266.888
5.76,78.612,10.358,3508.56,2810.69,1.51872,2850.31,1.63421,-266.888
5.78,80.6863,10.358,3508.56,2810.69,1.51536,2850.36,1.60693,-266.888
5.8,82.7606,10.3604,3508.45,2810.74,1.51371,2850.36,1.60685,-266.888
5.82,86.9092,10.3604,3508.45,2810.74,1.51375,2850.31,1.69943,-316.342
5.84,91.0579,10.3627,3508.51,2810.69,1.51476,2850.31,1.69969,-316.481
5.86,95.2064,10.3627,3508.51,2810.69,1.51676,2850.36,1.69969,-316.481
5.88,91.7492,10.3647,3508.45,2810.69,1.51872,2850.36,1.69969,-316.481
5.9,88.2921,10.3647,3508.45,2810.69,1.52091,2850.31,1.69969,-316.481
5.92,88.9835,10.3613,3508.51,2810.74,1.52318,2850.31,1.69969,-316.481
5.94,89.6749,10.3613,3508.51,2810.74,1.52555,2850.36,1.69969,-316.481
5.96,90.3663,10.3613,3508.45,2810.69,1.52794,2850.36,1.69969,-316.481
5.98,94.515,10.3642,3508.45,2810.69,1.5305,2850.31,1.69969,-316.481
6,98.6636,10.3642,3508.56,2810.69,1.53323,2850.31,1.69969,-316.481
6.02,99.355,10.3632,3508.56,2810.69,1.53587,2850.36,1.75015,-316.481
6.04,100.046,10.3632,3508.51,2810.74,1.53837,2850.36,1.75029,-316.481
6.06,100.738,10.3632,3508.51,2810.74,1.54073,2850.31,1.72982,-283.492
6.08,102.121,10.3632,3508.45,2810.69,1.54231,2850.31,1.72976,-283.399
6.1,103.504,10.3632,3508.45,2810.69,1.54318,2850.36,1.72976,-283.399
6.12,100.738,10.3599,3508.51,2810.69,1.54332,2850.36,1.72976,-283.399
6.14,97.9721,10.3599,3508.51,2810.69,1.54287,2850.31,1.72976,-283.399
6.16,95.2064,10.3599,3508.45,2810.74,1.54182,2850.31,1.72976,-283.399
6.18,95.8978,10.3599,3508.45,2810.74,1.54076,2850.36,1.72976,-283.399
6.2,96.5893,10.3584,3508.56,2810.69,1.53966,2850.36,1.72976,-283.399
6.22,91.7492,10.3584,3508.56,2810.69,1.53852,2850.31,1.72976,-283.399
6.24,86.9092,10.3584,3508.45,2810.74,1.53727,2850.31,1.72976,-283.399
6.26,82.0691,10.358,3508.45,2810.74,1.53591,2849.08,1.62731,-283.399
6.28,78.612,10.358,3508.51,2810.69,1.53445,2849.08,1.62702,-283.399
6.3,75.1548,10.358,3508.51,2810.69,1.53284,2637.7,1.58459,-331.098
6.32,78.612,10.358,3508.45,2810.69,1.53107,2637.11,1.58447,-331.232
6.34,82.0691,10.358,3508.45,2810.69,1.52916,2323.69,1.58447,-331.232
6.36,85.5263,10.3589,3508.51,2810.74,1.5271,2322.81,1.58447,-331.232
6.38,84.8349,10.3589,3508.51,2810.74,1.52482,2131.14,1.58447,-331.232
6.4,84.1435,10.358,3508.51,2810.69,1.52234,2130.61,1.58447,-331.232
6.42,81.3777,10.358,3508.51,2810.69,1.51964,2043.26,1.58447,-331.232
6.44,78.612,10.358,3508.51,2810.69,1.51669,2043.02,1.58447,-331.232
6.46,75.8462,10.3575,3508.51,2810.69,1.51369,2184.35,1.58447,-331.232
6.48,75.8462,10.3575,3508.45,2810.74,1.51058,2184.74,1.58447,-331.232
6.5,75.8462,10.3584,3508.45,2810.74,1.50737,2322.97,1.6136,-331.232
6.52,76.5377,10.3584,3508.51,2810.69,1.504,2323.36,1.61368,-331.232
6.54,77.2291,10.3584,3508.51,2810.69,1.50058,2497.68,1.62093,-321.224
6.56,77.9205,10.3584,3508.45,2810.74,1.49711,2498.17,1.62095,-321.196
6.58,76.5377,10.3584,3508.45,2810.74,1.49356,2712.24,1.62095,-321.196
6.6,75.1548,10.357,3508.56,2810.69,1.49,2712.84,1.62095,-321.196
6.62,71.6976,10.357,3508.56,2810.69,1.48645,2849.97,1.62095,-321.196
6.64,68.2405,10.357,3508.45,2810.69,1.48289,2850.36,1.62095,-321.196
6.66,64.7833,10.3565,3508.45,2810.69,1.47923,2850.31,1.62095,-321.196
6.68,62.709,10.3565,3508.51,2810.74,1.47559,2850.31,1.62095,-321.196
6.7,60.6347,10.3551,3508.51,2810.74,1.47195,2850.36,1.62095,-321.196
6.72,62.709,10.3551,3508.45,2810.69,1.46834,2850.36,1.62095,-321.196
6.74,64.7833,10.3551,3508.45,2810.69,1.46483,2850.31,1.64442,-321.196
6.76,66.8576,10.3561,3508.51,2810.69,1.46132,2850.31,1.64449,-321.196
6.78,65.4747,10.3561,3508.51,2810.69,1.45781,2832.11,1.66864,-333.585
6.8,64.0919,10.3551,3508.45,2810.74,1.45424,2832.05,1.6687,-333.62
6.82,64.7833,10.3551,3508.45,2810.74,1.45073,2779.39,1.6687,-333.62
6.84,65.4747,10.3551,3508.56,2810.69,1.44722,2779.24,1.6687,-333.62
6.86,66.1662,10.357,3508.56,2810.69,1.44371,2767.33,1.6687,-333.62
6.88,68.2405,10.357,3508.45,2810.69,1.44029,2767.3,1.6687,-333.62
6.9,70.3148,10.3546,3508.45,2810.69,1.43691,2764.24,1.6687,-333.62
6.92,76.5377,10.3546,3508.51,2810.74,1.43358,2764.23,1.6687,-333.62
6.94,82.7606,10.3546,3508.51,2810.74,1.4303,2750.04,1.6687,-333.62
6.96,88.9835,10.3541,3508.45,2810.69,1.42727,2750,1.6687,-333.62
6.98,93.1321,10.3541,3508.45,2810.69,1.42444,2733.44,1.59867,-333.62
7,97.2807,10.3518,3508.51,2810.69,1.4218,2733.39,1.59847,-333.62
7.02,95.8978,10.3518,3508.51,2810.69,1.41936,2716.55,1.52795,-306.744
7.04,94.515,10.3518,3508.56,2810.69,1.41707,2716.5,1.52775,-306.668
7.06,93.1321,10.3508,3508.56,2810.69,1.41493,2697.75,1.52775,-306.668
7.08,95.2064,10.3508,3508.45,2810.69,1.41294,2697.7,1.52775,-306.668
7.1,97.2807,10.3494,3508.45,2810.69,1.41122,2682.45,1.52775,-306.668
7.12,97.2807,10.3494,3508.51,2810.74,1.40972,2682.41,1.52775,-306.668
7.14,97.2807,10.3494,3508.51,2810.74,1.40842,2664.16,1.52775,-306.668
7.16,97.2807,10.3484,3508.45,2810.69,1.40734,2664.11,1.52775,-306.668
7.18,95.8978,10.3484,3508.45,2810.69,1.40642,2645.85,1.52775,-306.668
7.2,94.515,10.3503,3508.51,2810.69,1.40566,2645.8,1.52775,-306.668
7.22,86.9092,10.3503,3508.51,2810.69,1.40508,2635.58,1.53364,-306.668
7.24,84.1435,10.3503,3508.51,2810.74,1.40466,2635.55,1.53366,-306.668
7.26,81.3777,10.347,3508.51,2810.74,1.40429,2623.23,1.55538,-302.229
7.28,79.3034,10.347,3508.51,2810.69,1.40399,2623.19,1.55544,-302.216
7.3,77.2291,10.3427,3508.51,2810.69,1.40375,2609.05,1.55544,-302.216
7.32,77.9205,10.3427,3508.45,2810.69,1.40357,2609.01,1.55544,-302.216
7.34,79.3034,10.3427,3508.45,2810.69,1.40345,2595.77,1.55544,-302.216
